   lon          lat            geox            geoy        i     j     g 
   194.02572    64.729344       -567250.0       1692150.0     3    11   213 
   194.02778    64.729505       -567150.0       1692150.0     4    11   214 
   194.02985    64.729666       -567050.0       1692150.0     5    11   215 
   194.03191    64.729826       -566950.0       1692150.0     6    11   216 
   194.03398    64.729987       -566850.0       1692150.0     7    11   217 
   194.03605    64.730148       -566750.0       1692150.0     8    11   218 
   194.03811    64.730308       -566650.0       1692150.0     9    11   219 
   194.04018    64.730469       -566550.0       1692150.0    10    11   220 
   194.04224    64.730629       -566450.0       1692150.0    11    11   221 
   194.04431    64.730790       -566350.0       1692150.0    12    11   222 
   194.04637    64.730950       -566250.0       1692150.0    13    11   223 
   194.04844    64.731111       -566150.0       1692150.0    14    11   224 
   194.05050    64.731271       -566050.0       1692150.0    15    11   225 
   194.05257    64.731432       -565950.0       1692150.0    16    11   226 
   194.05464    64.731592       -565850.0       1692150.0    17    11   227 
   194.05670    64.731753       -565750.0       1692150.0    18    11   228 
   194.05877    64.731913       -565650.0       1692150.0    19    11   229 
   194.06083    64.732073       -565550.0       1692150.0    20    11   230 
   194.06290    64.732234       -565450.0       1692150.0    21    11   231 
   194.02121    64.729904       -567450.0       1692250.0     1    12   232 
   194.02328    64.730065       -567350.0       1692250.0     2    12   233 
   194.02534    64.730226       -567250.0       1692250.0     3    12   234 
   194.02741    64.730387       -567150.0       1692250.0     4    12   235 
   194.02947    64.730548       -567050.0       1692250.0     5    12   236 
   194.03154    64.730708       -566950.0       1692250.0     6    12   237 
   194.03360    64.730869       -566850.0       1692250.0     7    12   238 
   194.03567    64.731030       -566750.0       1692250.0     8    12   239 
   194.03773    64.731190       -566650.0       1692250.0     9    12   240 
   194.03980    64.731351       -566550.0       1692250.0    10    12   241 
   194.04187    64.731511       -566450.0       1692250.0    11    12   242 
   194.04393    64.731672       -566350.0       1692250.0    12    12   243 
   194.04600    64.731833       -566250.0       1692250.0    13    12   244 
   194.04806    64.731993       -566150.0       1692250.0    14    12   245 
   194.05013    64.732153       -566050.0       1692250.0    15    12   246 
   194.05219    64.732314       -565950.0       1692250.0    16    12   247 
   194.05426    64.732474       -565850.0       1692250.0    17    12   248 
   194.05633    64.732635       -565750.0       1692250.0    18    12   249 
   194.05839    64.732795       -565650.0       1692250.0    19    12   250 
   194.06046    64.732955       -565550.0       1692250.0    20    12   251 
   194.06252    64.733116       -565450.0       1692250.0    21    12   252 
   194.02083    64.730786       -567450.0       1692350.0     1    13   253 
   194.02290    64.730947       -567350.0       1692350.0     2    13   254 
   194.02496    64.731108       -567250.0       1692350.0     3    13   255 
   194.02703    64.731269       -567150.0       1692350.0     4    13   256 
   194.02910    64.731430       -567050.0       1692350.0     5    13   257 
   194.03116    64.731590       -566950.0       1692350.0     6    13   258 
   194.03323    64.731751       -566850.0       1692350.0     7    13   259 
   194.03529    64.731912       -566750.0       1692350.0     8    13   260 
   194.03736    64.732072       -566650.0       1692350.0     9    13   261 
   194.03942    64.732233       -566550.0       1692350.0    10    13   262 
   194.04149    64.732393       -566450.0       1692350.0    11    13   263 
   194.04356    64.732554       -566350.0       1692350.0    12    13   264 
   194.04562    64.732715       -566250.0       1692350.0    13    13   265 
   194.04769    64.732875       -566150.0       1692350.0    14    13   266 
   194.04975    64.733036       -566050.0       1692350.0    15    13   267 
   194.05182    64.733196       -565950.0       1692350.0    16    13   268 
   194.05389    64.733356       -565850.0       1692350.0    17    13   269 
   194.05595    64.733517       -565750.0       1692350.0    18    13   270 
   194.05802    64.733677       -565650.0       1692350.0    19    13   271 
   194.06008    64.733837       -565550.0       1692350.0    20    13   272 
   194.06215    64.733998       -565450.0       1692350.0    21    13   273 
   194.02046    64.731668       -567450.0       1692450.0     1    14   274 
   194.02252    64.731829       -567350.0       1692450.0     2    14   275 
   194.02459    64.731990       -567250.0       1692450.0     3    14   276 
   194.02665    64.732151       -567150.0       1692450.0     4    14   277 
   194.02872    64.732312       -567050.0       1692450.0     5    14   278 
   194.03078    64.732472       -566950.0       1692450.0     6    14   279 
   194.03285    64.732633       -566850.0       1692450.0     7    14   280 
   194.03492    64.732794       -566750.0       1692450.0     8    14   281 
   194.03698    64.732954       -566650.0       1692450.0     9    14   282 
   194.03905    64.733115       -566550.0       1692450.0    10    14   283 
   194.04111    64.733276       -566450.0       1692450.0    11    14   284 
   194.04318    64.733436       -566350.0       1692450.0    12    14   285 
   194.04525    64.733597       -566250.0       1692450.0    13    14   286 
   194.04731    64.733757       -566150.0       1692450.0    14    14   287 
   194.04938    64.733918       -566050.0       1692450.0    15    14   288 
   194.05144    64.734078       -565950.0       1692450.0    16    14   289 
   194.05351    64.734238       -565850.0       1692450.0    17    14   290 
   194.05558    64.734399       -565750.0       1692450.0    18    14   291 
   194.05764    64.734559       -565650.0       1692450.0    19    14   292 
   194.05971    64.734720       -565550.0       1692450.0    20    14   293 
   194.06177    64.734880       -565450.0       1692450.0    21    14   294 
   194.02008    64.732550       -567450.0       1692550.0     1    15   295 
   194.02215    64.732711       -567350.0       1692550.0     2    15   296 
   194.02421    64.732872       -567250.0       1692550.0     3    15   297 
   194.02628    64.733033       -567150.0       1692550.0     4    15   298 
   194.02834    64.733194       -567050.0       1692550.0     5    15   299 
   194.03041    64.733354       -566950.0       1692550.0     6    15   300 
   194.03247    64.733515       -566850.0       1692550.0     7    15   301 
   194.03454    64.733676       -566750.0       1692550.0     8    15   302 
   194.03661    64.733836       -566650.0       1692550.0     9    15   303 
   194.03867    64.733997       -566550.0       1692550.0    10    15   304 
   194.04074    64.734158       -566450.0       1692550.0    11    15   305 
   194.04280    64.734318       -566350.0       1692550.0    12    15   306 
   194.04487    64.734479       -566250.0       1692550.0    13    15   307 
   194.04694    64.734639       -566150.0       1692550.0    14    15   308 
   194.04900    64.734800       -566050.0       1692550.0    15    15   309 
   194.05107    64.734960       -565950.0       1692550.0    16    15   310 
   194.05313    64.735121       -565850.0       1692550.0    17    15   311 
   194.05520    64.735281       -565750.0       1692550.0    18    15   312 
   194.05727    64.735441       -565650.0       1692550.0    19    15   313 
   194.05933    64.735602       -565550.0       1692550.0    20    15   314 
   194.06140    64.735762       -565450.0       1692550.0    21    15   315 
   194.01970    64.733432       -567450.0       1692650.0     1    16   316 
   194.02177    64.733593       -567350.0       1692650.0     2    16   317 
   194.02383    64.733754       -567250.0       1692650.0     3    16   318 
   194.02590    64.733915       -567150.0       1692650.0     4    16   319 
   194.02797    64.734076       -567050.0       1692650.0     5    16   320 
   194.03003    64.734236       -566950.0       1692650.0     6    16   321 
   194.03210    64.734397       -566850.0       1692650.0     7    16   322 
   194.03416    64.734558       -566750.0       1692650.0     8    16   323 
