   lon          lat            geox            geoy        i     j     g 
   195.19874    65.164073       -504350.0       1730450.0    24     9   224 
   195.20084    65.164218       -504250.0       1730450.0    25     9   225 
   195.15000    65.161609       -506650.0       1730550.0     1    10   226 
   195.15211    65.161755       -506550.0       1730550.0     2    10   227 
   195.15421    65.161901       -506450.0       1730550.0     3    10   228 
   195.15632    65.162047       -506350.0       1730550.0     4    10   229 
   195.15842    65.162193       -506250.0       1730550.0     5    10   230 
   195.16052    65.162339       -506150.0       1730550.0     6    10   231 
   195.16263    65.162485       -506050.0       1730550.0     7    10   232 
   195.16473    65.162630       -505950.0       1730550.0     8    10   233 
   195.16683    65.162776       -505850.0       1730550.0     9    10   234 
   195.16894    65.162922       -505750.0       1730550.0    10    10   235 
   195.17104    65.163067       -505650.0       1730550.0    11    10   236 
   195.17315    65.163213       -505550.0       1730550.0    12    10   237 
   195.17525    65.163359       -505450.0       1730550.0    13    10   238 
   195.17735    65.163504       -505350.0       1730550.0    14    10   239 
   195.17946    65.163650       -505250.0       1730550.0    15    10   240 
   195.18156    65.163795       -505150.0       1730550.0    16    10   241 
   195.18367    65.163941       -505050.0       1730550.0    17    10   242 
   195.18577    65.164086       -504950.0       1730550.0    18    10   243 
   195.18787    65.164232       -504850.0       1730550.0    19    10   244 
   195.18998    65.164377       -504750.0       1730550.0    20    10   245 
   195.19208    65.164522       -504650.0       1730550.0    21    10   246 
   195.19419    65.164668       -504550.0       1730550.0    22    10   247 
   195.19629    65.164813       -504450.0       1730550.0    23    10   248 
   195.19839    65.164958       -504350.0       1730550.0    24    10   249 
   195.20050    65.165104       -504250.0       1730550.0    25    10   250 
   195.14966    65.162495       -506650.0       1730650.0     1    11   251 
   195.15176    65.162641       -506550.0       1730650.0     2    11   252 
   195.15387    65.162787       -506450.0       1730650.0     3    11   253 
   195.15597    65.162932       -506350.0       1730650.0     4    11   254 
   195.15807    65.163078       -506250.0       1730650.0     5    11   255 
   195.16018    65.163224       -506150.0       1730650.0     6    11   256 
   195.16228    65.163370       -506050.0       1730650.0     7    11   257 
   195.16438    65.163516       -505950.0       1730650.0     8    11   258 
   195.16649    65.163661       -505850.0       1730650.0     9    11   259 
   195.16859    65.163807       -505750.0       1730650.0    10    11   260 
   195.17070    65.163953       -505650.0       1730650.0    11    11   261 
   195.17280    65.164098       -505550.0       1730650.0    12    11   262 
   195.17490    65.164244       -505450.0       1730650.0    13    11   263 
   195.17701    65.164389       -505350.0       1730650.0    14    11   264 
   195.17911    65.164535       -505250.0       1730650.0    15    11   265 
   195.18122    65.164680       -505150.0       1730650.0    16    11   266 
   195.18332    65.164826       -505050.0       1730650.0    17    11   267 
   195.18542    65.164971       -504950.0       1730650.0    18    11   268 
   195.18753    65.165117       -504850.0       1730650.0    19    11   269 
   195.18963    65.165262       -504750.0       1730650.0    20    11   270 
   195.19174    65.165408       -504650.0       1730650.0    21    11   271 
   195.19384    65.165553       -504550.0       1730650.0    22    11   272 
   195.19594    65.165698       -504450.0       1730650.0    23    11   273 
   195.19805    65.165844       -504350.0       1730650.0    24    11   274 
   195.20015    65.165989       -504250.0       1730650.0    25    11   275 
   195.14931    65.163380       -506650.0       1730750.0     1    12   276 
   195.15141    65.163526       -506550.0       1730750.0     2    12   277 
   195.15352    65.163672       -506450.0       1730750.0     3    12   278 
   195.15562    65.163818       -506350.0       1730750.0     4    12   279 
   195.15773    65.163963       -506250.0       1730750.0     5    12   280 
   195.15983    65.164109       -506150.0       1730750.0     6    12   281 
   195.16193    65.164255       -506050.0       1730750.0     7    12   282 
   195.16404    65.164401       -505950.0       1730750.0     8    12   283 
   195.16614    65.164547       -505850.0       1730750.0     9    12   284 
   195.16825    65.164692       -505750.0       1730750.0    10    12   285 
   195.17035    65.164838       -505650.0       1730750.0    11    12   286 
   195.17245    65.164984       -505550.0       1730750.0    12    12   287 
   195.17456    65.165129       -505450.0       1730750.0    13    12   288 
   195.17666    65.165275       -505350.0       1730750.0    14    12   289 
   195.17877    65.165420       -505250.0       1730750.0    15    12   290 
   195.18087    65.165566       -505150.0       1730750.0    16    12   291 
   195.18297    65.165711       -505050.0       1730750.0    17    12   292 
   195.18508    65.165857       -504950.0       1730750.0    18    12   293 
   195.18718    65.166002       -504850.0       1730750.0    19    12   294 
   195.18929    65.166148       -504750.0       1730750.0    20    12   295 
   195.19139    65.166293       -504650.0       1730750.0    21    12   296 
   195.19349    65.166438       -504550.0       1730750.0    22    12   297 
   195.19560    65.166584       -504450.0       1730750.0    23    12   298 
   195.19770    65.166729       -504350.0       1730750.0    24    12   299 
   195.19981    65.166874       -504250.0       1730750.0    25    12   300 
   195.14896    65.164265       -506650.0       1730850.0     1    13   301 
   195.15107    65.164411       -506550.0       1730850.0     2    13   302 
   195.15317    65.164557       -506450.0       1730850.0     3    13   303 
   195.15528    65.164703       -506350.0       1730850.0     4    13   304 
   195.15738    65.164849       -506250.0       1730850.0     5    13   305 
   195.15948    65.164994       -506150.0       1730850.0     6    13   306 
   195.16159    65.165140       -506050.0       1730850.0     7    13   307 
   195.16369    65.165286       -505950.0       1730850.0     8    13   308 
   195.16580    65.165432       -505850.0       1730850.0     9    13   309 
   195.16790    65.165577       -505750.0       1730850.0    10    13   310 
   195.17000    65.165723       -505650.0       1730850.0    11    13   311 
   195.17211    65.165869       -505550.0       1730850.0    12    13   312 
   195.17421    65.166014       -505450.0       1730850.0    13    13   313 
   195.17632    65.166160       -505350.0       1730850.0    14    13   314 
   195.17842    65.166306       -505250.0       1730850.0    15    13   315 
   195.18052    65.166451       -505150.0       1730850.0    16    13   316 
   195.18263    65.166597       -505050.0       1730850.0    17    13   317 
   195.18473    65.166742       -504950.0       1730850.0    18    13   318 
   195.18684    65.166888       -504850.0       1730850.0    19    13   319 
   195.18894    65.167033       -504750.0       1730850.0    20    13   320 
   195.19104    65.167178       -504650.0       1730850.0    21    13   321 
   195.19315    65.167324       -504550.0       1730850.0    22    13   322 
   195.19525    65.167469       -504450.0       1730850.0    23    13   323 
   195.19736    65.167614       -504350.0       1730850.0    24    13   324 
   195.19946    65.167760       -504250.0       1730850.0    25    13   325 
   195.14862    65.165150       -506650.0       1730950.0     1    14   326 
   195.15072    65.165296       -506550.0       1730950.0     2    14   327 
   195.15283    65.165442       -506450.0       1730950.0     3    14   328 
   195.15493    65.165588       -506350.0       1730950.0     4    14   329 
   195.15703    65.165734       -506250.0       1730950.0     5    14   330 
   195.15914    65.165880       -506150.0       1730950.0     6    14   331 
   195.16124    65.166026       -506050.0       1730950.0     7    14   332 
   195.16334    65.166171       -505950.0       1730950.0     8    14   333 
   195.16545    65.166317       -505850.0       1730950.0     9    14   334 
   195.16755    65.166463       -505750.0       1730950.0    10    14   335 
   195.16966    65.166608       -505650.0       1730950.0    11    14   336 
   195.17176    65.166754       -505550.0       1730950.0    12    14   337 
   195.17387    65.166900       -505450.0       1730950.0    13    14   338 
   195.17597    65.167045       -505350.0       1730950.0    14    14   339 
   195.17807    65.167191       -505250.0       1730950.0    15    14   340 
   195.18018    65.167336       -505150.0       1730950.0    16    14   341 
   195.18228    65.167482       -505050.0       1730950.0    17    14   342 
   195.18439    65.167627       -504950.0       1730950.0    18    14   343 
   195.18649    65.167773       -504850.0       1730950.0    19    14   344 
   195.18859    65.167918       -504750.0       1730950.0    20    14   345 
   195.19070    65.168064       -504650.0       1730950.0    21    14   346 
   195.19280    65.168209       -504550.0       1730950.0    22    14   347 
   195.19491    65.168354       -504450.0       1730950.0    23    14   348 
   195.19701    65.168500       -504350.0       1730950.0    24    14   349 
   195.19912    65.168645       -504250.0       1730950.0    25    14   350 
   195.14827    65.166036       -506650.0       1731050.0     1    15   351 
   195.15037    65.166182       -506550.0       1731050.0     2    15   352 
   195.15248    65.166327       -506450.0       1731050.0     3    15   353 
   195.15458    65.166473       -506350.0       1731050.0     4    15   354 
   195.15669    65.166619       -506250.0       1731050.0     5    15   355 
   195.15879    65.166765       -506150.0       1731050.0     6    15   356 
   195.16089    65.166911       -506050.0       1731050.0     7    15   357 
   195.16300    65.167057       -505950.0       1731050.0     8    15   358 
   195.16510    65.167202       -505850.0       1731050.0     9    15   359 
   195.16721    65.167348       -505750.0       1731050.0    10    15   360 
   195.16931    65.167494       -505650.0       1731050.0    11    15   361 
   195.17142    65.167639       -505550.0       1731050.0    12    15   362 
   195.17352    65.167785       -505450.0       1731050.0    13    15   363 
   195.17562    65.167931       -505350.0       1731050.0    14    15   364 
   195.17773    65.168076       -505250.0       1731050.0    15    15   365 
   195.17983    65.168222       -505150.0       1731050.0    16    15   366 
   195.18194    65.168367       -505050.0       1731050.0    17    15   367 
   195.18404    65.168513       -504950.0       1731050.0    18    15   368 
   195.18614    65.168658       -504850.0       1731050.0    19    15   369 
   195.18825    65.168804       -504750.0       1731050.0    20    15   370 
   195.19035    65.168949       -504650.0       1731050.0    21    15   371 
   195.19246    65.169094       -504550.0       1731050.0    22    15   372 
   195.19456    65.169240       -504450.0       1731050.0    23    15   373 
   195.19667    65.169385       -504350.0       1731050.0    24    15   374 
   195.19877    65.169530       -504250.0       1731050.0    25    15   375 
   195.14792    65.166921       -506650.0       1731150.0     1    16   376 
   195.15003    65.167067       -506550.0       1731150.0     2    16   377 
   195.15213    65.167213       -506450.0       1731150.0     3    16   378 
   195.15424    65.167359       -506350.0       1731150.0     4    16   379 
   195.15634    65.167504       -506250.0       1731150.0     5    16   380 
   195.15844    65.167650       -506150.0       1731150.0     6    16   381 
   195.16055    65.167796       -506050.0       1731150.0     7    16   382 
   195.16265    65.167942       -505950.0       1731150.0     8    16   383 
   195.16476    65.168088       -505850.0       1731150.0     9    16   384 
   195.16686    65.168233       -505750.0       1731150.0    10    16   385 
   195.16896    65.168379       -505650.0       1731150.0    11    16   386 
   195.17107    65.168525       -505550.0       1731150.0    12    16   387 
   195.17317    65.168670       -505450.0       1731150.0    13    16   388 
   195.17528    65.168816       -505350.0       1731150.0    14    16   389 
   195.17738    65.168961       -505250.0       1731150.0    15    16   390 
   195.17949    65.169107       -505150.0       1731150.0    16    16   391 
   195.18159    65.169252       -505050.0       1731150.0    17    16   392 
   195.18369    65.169398       -504950.0       1731150.0    18    16   393 
   195.18580    65.169543       -504850.0       1731150.0    19    16   394 
   195.18790    65.169689       -504750.0       1731150.0    20    16   395 
   195.19001    65.169834       -504650.0       1731150.0    21    16   396 
   195.19211    65.169980       -504550.0       1731150.0    22    16   397 
   195.19422    65.170125       -504450.0       1731150.0    23    16   398 
   195.19632    65.170270       -504350.0       1731150.0    24    16   399 
   195.19843    65.170416       -504250.0       1731150.0    25    16   400 
   195.14758    65.167806       -506650.0       1731250.0     1    17   401 
   195.14968    65.167952       -506550.0       1731250.0     2    17   402 
   195.15178    65.168098       -506450.0       1731250.0     3    17   403 
   195.15389    65.168244       -506350.0       1731250.0     4    17   404 
   195.15599    65.168390       -506250.0       1731250.0     5    17   405 
   195.15810    65.168535       -506150.0       1731250.0     6    17   406 
   195.16020    65.168681       -506050.0       1731250.0     7    17   407 
   195.16231    65.168827       -505950.0       1731250.0     8    17   408 
   195.16441    65.168973       -505850.0       1731250.0     9    17   409 
   195.16651    65.169119       -505750.0       1731250.0    10    17   410 
   195.16862    65.169264       -505650.0       1731250.0    11    17   411 
   195.17072    65.169410       -505550.0       1731250.0    12    17   412 
   195.17283    65.169556       -505450.0       1731250.0    13    17   413 
   195.17493    65.169701       -505350.0       1731250.0    14    17   414 
   195.17704    65.169847       -505250.0       1731250.0    15    17   415 
   195.17914    65.169992       -505150.0       1731250.0    16    17   416 
   195.18124    65.170138       -505050.0       1731250.0    17    17   417 
   195.18335    65.170283       -504950.0       1731250.0    18    17   418 
   195.18545    65.170429       -504850.0       1731250.0    19    17   419 
   195.18756    65.170574       -504750.0       1731250.0    20    17   420 
   195.18966    65.170720       -504650.0       1731250.0    21    17   421 
   195.19177    65.170865       -504550.0       1731250.0    22    17   422 
   195.19387    65.171010       -504450.0       1731250.0    23    17   423 
   195.19598    65.171156       -504350.0       1731250.0    24    17   424 
   195.19808    65.171301       -504250.0       1731250.0    25    17   425 
   195.14723    65.168691       -506650.0       1731350.0     1    18   426 
   195.14933    65.168837       -506550.0       1731350.0     2    18   427 
   195.15144    65.168983       -506450.0       1731350.0     3    18   428 
   195.15354    65.169129       -506350.0       1731350.0     4    18   429 
   195.15565    65.169275       -506250.0       1731350.0     5    18   430 
   195.15775    65.169421       -506150.0       1731350.0     6    18   431 
   195.15985    65.169567       -506050.0       1731350.0     7    18   432 
   195.16196    65.169712       -505950.0       1731350.0     8    18   433 
   195.16406    65.169858       -505850.0       1731350.0     9    18   434 
   195.16617    65.170004       -505750.0       1731350.0    10    18   435 
   195.16827    65.170149       -505650.0       1731350.0    11    18   436 
   195.17038    65.170295       -505550.0       1731350.0    12    18   437 
   195.17248    65.170441       -505450.0       1731350.0    13    18   438 
   195.17459    65.170586       -505350.0       1731350.0    14    18   439 
   195.17669    65.170732       -505250.0       1731350.0    15    18   440 
   195.17879    65.170878       -505150.0       1731350.0    16    18   441 
   195.18090    65.171023       -505050.0       1731350.0    17    18   442 
   195.18300    65.171169       -504950.0       1731350.0    18    18   443 
   195.18511    65.171314       -504850.0       1731350.0    19    18   444 
   195.18721    65.171460       -504750.0       1731350.0    20    18   445 
   195.18932    65.171605       -504650.0       1731350.0    21    18   446 
   195.19142    65.171750       -504550.0       1731350.0    22    18   447 
   195.19353    65.171896       -504450.0       1731350.0    23    18   448 
   195.19563    65.172041       -504350.0       1731350.0    24    18   449 
   195.19774    65.172186       -504250.0       1731350.0    25    18   450 
