   lon          lat            geox            geoy        i     j     g 
   196.25167    64.864046       -460450.0       1689750.0    21     3   149 
   196.25376    64.864177       -460350.0       1689750.0    22     3   150 
   196.25585    64.864308       -460250.0       1689750.0    23     3   151 
   196.25793    64.864439       -460150.0       1689750.0    24     3   152 
   196.26002    64.864570       -460050.0       1689750.0    25     3   153 
   196.26211    64.864701       -459950.0       1689750.0    26     3   154 
   196.26420    64.864832       -459850.0       1689750.0    27     3   155 
   196.26628    64.864963       -459750.0       1689750.0    28     3   156 
   196.26837    64.865094       -459650.0       1689750.0    29     3   157 
   196.27046    64.865225       -459550.0       1689750.0    30     3   158 
   196.27254    64.865356       -459450.0       1689750.0    31     3   159 
   196.27463    64.865487       -459350.0       1689750.0    32     3   160 
   196.27672    64.865618       -459250.0       1689750.0    33     3   161 
   196.27880    64.865748       -459150.0       1689750.0    34     3   162 
   196.28089    64.865879       -459050.0       1689750.0    35     3   163 
   196.28298    64.866010       -458950.0       1689750.0    36     3   164 
   196.28507    64.866141       -458850.0       1689750.0    37     3   165 
   196.28715    64.866271       -458750.0       1689750.0    38     3   166 
   196.28924    64.866402       -458650.0       1689750.0    39     3   167 
   196.29133    64.866533       -458550.0       1689750.0    40     3   168 
   196.29342    64.866663       -458450.0       1689750.0    41     3   169 
   196.29550    64.866794       -458350.0       1689750.0    42     3   170 
   196.29759    64.866924       -458250.0       1689750.0    43     3   171 
   196.29968    64.867055       -458150.0       1689750.0    44     3   172 
   196.30176    64.867185       -458050.0       1689750.0    45     3   173 
   196.30385    64.867316       -457950.0       1689750.0    46     3   174 
   196.30594    64.867446       -457850.0       1689750.0    47     3   175 
   196.30803    64.867577       -457750.0       1689750.0    48     3   176 
   196.31011    64.867707       -457650.0       1689750.0    49     3   177 
   196.31220    64.867838       -457550.0       1689750.0    50     3   178 
   196.31429    64.867968       -457450.0       1689750.0    51     3   179 
   196.31638    64.868098       -457350.0       1689750.0    52     3   180 
   196.31846    64.868228       -457250.0       1689750.0    53     3   181 
   196.32055    64.868359       -457150.0       1689750.0    54     3   182 
   196.32264    64.868489       -457050.0       1689750.0    55     3   183 
   196.32473    64.868619       -456950.0       1689750.0    56     3   184 
   196.32681    64.868749       -456850.0       1689750.0    57     3   185 
   196.32890    64.868879       -456750.0       1689750.0    58     3   186 
   196.33099    64.869010       -456650.0       1689750.0    59     3   187 
   196.33308    64.869140       -456550.0       1689750.0    60     3   188 
   196.33516    64.869270       -456450.0       1689750.0    61     3   189 
   196.33725    64.869400       -456350.0       1689750.0    62     3   190 
   196.33934    64.869530       -456250.0       1689750.0    63     3   191 
   196.34143    64.869660       -456150.0       1689750.0    64     3   192 
   196.21025    64.860530       -462450.0       1689650.0     1     4   193 
